Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab
Black Grouper Gulf of Mexico and South Atlantic,RAM,2010,459634,SA-GM,SEFSC,KM,3,0,0,0,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Mutton Snapper - South Atlantic and Gulf of Mexico,web,2008,472151,SA-GM,SEFSC,KM,3,0,0,0,3,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Goliath Grouper,WEB,2011,0,SA-GM,SEFSC,KM,3,0,0,0,1,1,0,1,Overfished,Not Overfished,0,groundfish,No Diet Lab
Hogfish Gulf of Mexico and South Atlantic,WEB,2013,221768,SA-GM,SEFSC,KM,3,0,1,0,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Yellowtail Snapper - Gulf of Mexico,RAM,2012,5541535,SA-GM,SEFSC,KM,3,0,0,1,1,1,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Yellowtail Snapper Southern Atlantic Coast ,RAM,2012,292174,SA-GM,SEFSC,KM,3,0,0,1,1,1,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Black Sea Bass - South Atlantic,web,2011,1407192,SAFMC,SEFSC,KM,3,0,0,0,1,3,0,1,Overfished,Overfished,0,groundfish,No Diet Lab
Blueline Tilefish South Atlantic,WEB,2013,624716,SAFMC,SEFSC,KM,2,0,1,0,2,1,0,0,Not Overfished,Not Overfished,1,groundfish,No Diet Lab
Gag - South Atlantic,web,2006,1882561,SAFMC,SEFSC,KM,2,0,0,0,1,0,0,1,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Greater Amberjack - South Atlantic,web,2008,613151,SAFMC,SEFSC,KM,1,0,0,0,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Hogfish - Southeast Florida,web,2013,221768,SAFMC,SEFSC,KM,3,0,1,0,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Red grouper South Atlantic,RAM,2010,356662,SAFMC,SEFSC,KM,3,0,0,0,3,0,0,1,Overfished,Overfished,0,groundfish,No Diet Lab
